,name,latitude,longitude,empty_slots,free_bikes,total_bikes
311,Symington Ave / Dupont St,43.665538,-79.451263,9,6,15
312,King St E / Jarvis St,43.650325,-79.372287,13,12,25
313,Bay St / Bloor St W (East Side),43.66943,-79.38915,15,0,15
314,Bay St / Bloor St W (West Side),43.669244,-79.3894,19,0,19
315,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,8,7,15
316,Dundas St E / George St,43.6574766,-79.373446,15,9,24
317,Fleet St / Bathurst St,43.636611,-79.400042,0,20,20
318,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,6,1,7
319,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,14,2,16
320,King St E / Church St,43.65003919999999,-79.3733541,9,5,14
321,Bay St / Albert St,43.653264,-79.382458,7,28,35
322,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,17,1,18
323,Bay St / College St (East Side),43.660439,-79.385525,14,3,17
324,University Ave / College St (West),43.659226,-79.390213,10,1,11
325,University Ave / College St (East),43.65995,-79.38964,7,7,14
326,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,11,1,12
327,Bay St / College St (West Side) - SMART,43.660087,-79.385655,10,2,12
328,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,6,11,17
329,Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,2,27,29
330,Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,0,26,26
331,Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,2,20,22
332,St Clarens Ave / Shirley St,43.6486599,-79.4376413,9,5,14
333,Lisgar Park,43.6423847,-79.4240277,4,18,22
334,Bartlett Parkette,43.6702236,-79.4360232,21,1,22
335,Sherbourne St N / Elm Ave,43.6752732,-79.3778458,5,17,22
336,Walnut Ave / Queen St W,43.645469,-79.411084,9,6,15
337,Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,17,1,18
338,Palmerston Ave / Dundas St W,43.651603,-79.408346,6,17,23
339,541 Huron St - SMART,43.670206,-79.402643,8,12,20
340,Euclid Ave / Herrick St - SMART,43.661559,-79.413845,5,10,15
341,Baldwin St / Henry St,43.6560758,-79.393259,8,7,15
342,Orde St / McCaul St,43.6580442,-79.3927404,13,2,15
343,Ross St / Cecil St - SMART,43.6568254,-79.3966159,9,9,18
344,Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,5,13,18
345,Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,5,14,19
346,Windsor St / Newcastle St,43.6171635,-79.4971065,30,1,31
347,Royal York Rd / Mimico Ave,43.612063,-79.496573,19,1,20
